week,date,season,option_type,trail_name,location,distance_miles,elevation_gain_ft,difficulty,drive_time_min,interesting_feature,wta_url,alltrails_url
1,2026-03-21,spring,easy,Green Lake Loop,Seattle,2.8,50,easy,15,Cherry blossoms line the lake in late March - wheelchair accessible paved loop with waterfowl viewing,,https://www.alltrails.com/trail/us/washington/green-lake-loop-trail
1,2026-03-21,spring,moderate,Discovery Park Loop,Seattle,2.8,140,easy/moderate,20,Seattle's largest park with Puget Sound views and Olympic Mountain backdrop - lighthouse trail option,,https://www.alltrails.com/trail/us/washington/discovery-park-loop-trail
1,2026-03-21,spring,hard,Twin Falls,North Bend,2.4,500,easy/moderate,35,Trio of cascades pumping hard with spring runoff through mossy old-growth forest,https://www.wta.org/go-hiking/hikes/twin-falls-state-park,https://www.alltrails.com/trail/us/washington/twin-falls-trail
2,2026-03-28,spring,easy,Snoqualmie Falls,Snoqualmie,1.4,100,easy,40,268-foot iconic waterfall at peak spring flow - paved viewpoints and historic observation deck,https://www.wta.org/go-hiking/hikes/snoqualmie-falls,
2,2026-03-28,spring,moderate,Coal Creek Falls,Issaquah,2.2,475,moderate,25,Hidden 28-foot waterfall on Cougar Mountain that runs dry by summer - excellent mushroom spotting,https://www.wta.org/go-hiking/hikes/coal-creek-falls,
2,2026-03-28,spring,hard,Little Si,North Bend,3.7,1300,moderate,35,Rocky summit bluff with Snoqualmie Valley views - has Boulder Garden Loop option for scrambling,https://www.wta.org/go-hiking/hikes/little-si,https://www.alltrails.com/trail/us/washington/little-si-trail
3,2026-04-04,spring,easy,Gold Creek Pond,Snoqualmie Pass,1.0,100,easy,55,Flat stroller-accessible loop around scenic pond with mountain reflections - perfect for families,,
3,2026-04-04,spring,moderate,Franklin Falls,Snoqualmie Pass,2.0,400,easy,50,Misty 70-foot waterfall through old-growth forest you can feel misting your face,https://www.wta.org/go-hiking/hikes/franklin-falls,
3,2026-04-04,spring,hard,Rattlesnake Ledge,North Bend,4.0,1160,moderate,40,Dramatic cliff-edge ledge overlooking Rattlesnake Lake with Mt. Si and Mt. Washington views,https://www.wta.org/go-hiking/hikes/rattlesnake-ledge,https://www.alltrails.com/trail/us/washington/rattlesnake-ledge
4,2026-04-11,spring,easy,Ravenna Park Loop,Seattle,2.0,100,easy,10,Lush urban forest with Ravenna Creek flowing through glacial canyon,,
4,2026-04-11,spring,moderate,Tiger Mountain Tradition Lake,Issaquah,1.5,50,easy,30,Flat forest loop around beautiful lake - excellent fauna viewing and mushroom foraging,,
4,2026-04-11,spring,hard,Poo Poo Point,Issaquah,3.8,1650,moderate,30,Paraglider launch point - watch gliders launch while eating lunch with Seattle and Mt. Rainier views,https://www.wta.org/go-hiking/hikes/poo-poo-point,https://www.alltrails.com/trail/us/washington/chirico-trail-to-poo-poo-point--2
5,2026-04-18,spring,easy,Burke-Gilman Trail,Seattle to Bothell,5.0,50,easy,15,Paved rail-trail along Lake Washington - multiple access points and cafes along the route,,
5,2026-04-18,spring,moderate,Boulder River Trail,Darrington,2.5,200,easy/moderate,90,Gorgeous forest walk along turquoise glacial river - incredibly photogenic,,
5,2026-04-18,spring,hard,Teneriffe Falls,North Bend,5.6,1585,moderate,45,Twenty-two switchbacks to waterfall at full spring volume - final 0.9 miles gains 850 feet,https://www.wta.org/go-hiking/hikes/teneriffe-falls,
6,2026-04-25,spring,easy,Saint Edward Seminary,Kenmore,0.5,50,easy,25,Lake Washington shoreline walk past historic seminary buildings - very accessible,,
6,2026-04-25,spring,moderate,Oxbow Loop Trail,Middle Fork Snoqualmie,2.0,50,easy,50,Family-friendly flat riverside walk through old-growth forest with river views,,
6,2026-04-25,spring,hard,Wallace Falls,Gold Bar,5.6,1300,moderate,60,Nine waterfalls total including spectacular three-tiered 265-foot main cascade at peak flow,https://www.wta.org/go-hiking/hikes/wallace-falls,
7,2026-05-02,spring,easy,Union Bay Natural Area,Seattle,2.0,50,easy,15,Wetlands and woodlands urban nature escape - excellent birdwatching,,
7,2026-05-02,spring,moderate,Ebey's Landing,Whidbey Island,3.0,200,easy/moderate,90,Panoramic Puget Sound views with beach access and historic prairie - wildflower displays,,
7,2026-05-02,spring,hard,Dirty Harry's Balcony,Snoqualmie Pass,4.4,1600,moderate,60,Dramatic cliff-edge overlook with Snoqualmie Valley views - steep but short,,
8,2026-05-09,spring,easy,Mount Catherine,North Bend,3.0,1300,moderate,45,Short but steep summit with panoramic Mt. Rainier views - worth the effort,,
8,2026-05-09,spring,moderate,Talapus Lake,Snoqualmie Pass,4.0,800,moderate,55,Calm subalpine lake through cool forest - good family destination,,
8,2026-05-09,spring,hard,Bandera Mountain,Snoqualmie Pass,8.0,3400,hard,55,Steep inclines to alpine meadows with panoramic Cascade views - serious workout,,https://www.alltrails.com/trail/us/washington/bandera-mountain
9,2026-05-16,spring,easy,Denny Creek Slide,Snoqualmie Pass,2.0,300,easy,60,Natural waterslide for kids - bring swimsuits and towels for splashing fun,,
9,2026-05-16,spring,moderate,Talapus and Olallie Lakes,Snoqualmie Pass,5.8,1223,moderate,55,Two subalpine lakes on one trail - peaceful forest walk,https://www.wta.org/go-hiking/hikes/talapus-and-olallie-lakes,https://www.alltrails.com/trail/us/washington/talapus-and-olallie-lakes-via-olallie-lake-trail--5
9,2026-05-16,spring,hard,Mailbox Peak (new trail),Snoqualmie Pass,11.2,4100,hard,55,Extremely steep - 4000 feet gain - historic mailbox at summit for leaving notes,,https://www.alltrails.com/trail/us/washington/mailbox-peak-trail
10,2026-05-23,spring,easy,Wallace Falls Lower Viewpoint,Gold Bar,2.0,500,easy,60,Short walk to Lower Falls viewpoint - great for families wanting waterfall experience,,
10,2026-05-23,spring,moderate,Denny Creek to Keekwulee Falls,Snoqualmie Pass,4.0,600,moderate,60,125-foot waterfall with natural waterslide section - bring water shoes,https://www.wta.org/go-hiking/hikes/keekwulee-falls,https://www.alltrails.com/trail/us/washington/keekwulee-falls-via-denny-creek-trail
10,2026-05-23,spring,hard,Mount Si,North Bend,8.1,3150,hard,40,Classic Seattle hike with relentless grade - Haystack summit has sweeping Snoqualmie Valley views,https://www.wta.org/go-hiking/hikes/mount-si,https://www.alltrails.com/trail/us/washington/mount-si-trail
11,2026-05-30,spring,easy,Mirror Lake,Snoqualmie Pass,3.0,700,moderate,55,Quiet alpine basin emerging from snow - wildflower fields beginning,https://www.wta.org/go-hiking/hikes/mirror-lake-and-cottonwood-lakes,
11,2026-05-30,spring,moderate,Lake 22,Granite Falls,5.4,1350,moderate,70,First major alpine lake of the season with waterfall views - sitting at base of Mt. Pilchuck,https://www.wta.org/go-hiking/hikes/lake-twenty-two,https://www.alltrails.com/trail/us/washington/lake-22-trail
11,2026-05-30,spring,hard,Granite Mountain,Snoqualmie Pass,8.1,4000,hard,55,Nearly 1000 ft/mile climb to historic fire lookout cabin with Mt. Rainier panoramas,https://www.wta.org/go-hiking/hikes/granite-mountain,
12,2026-06-06,spring,easy,Heather Lake,Granite Falls,4.4,1204,moderate,70,Subalpine lake with skunk cabbage blooms and Mt. Pilchuck backdrop,https://www.wta.org/go-hiking/hikes/heather-lake-1,
12,2026-06-06,spring,moderate,Annette Lake,Snoqualmie Pass,7.5,1800,moderate,60,Alpine lake with wildflower meadows and waterfall along the trail - good swimming,https://www.wta.org/go-hiking/hikes/annette-lake,
12,2026-06-06,spring,hard,Lake Serene & Bridal Veil Falls,Stevens Pass,8.2,2000,hard,70,Dramatic waterfall and alpine lake beneath 3000-foot Mt. Index cliff face - spectacular combo,https://www.wta.org/go-hiking/hikes/lake-serene,https://www.alltrails.com/trail/us/washington/bridal-veil-falls-and-lake-serene
13,2026-06-13,spring,easy,Bench and Snow Lake,Mt Rainier,2.7,750,moderate,150,Two subalpine lakes with wildflower fields - easier Mt. Rainier option,,
13,2026-06-13,spring,moderate,Comet Falls,Mt Rainier,3.8,1400,moderate,150,320-foot waterfall (tallest in the park) through forest walk with steady climb,,
13,2026-06-13,spring,hard,Snow Lake,Snoqualmie Pass,7.2,1800,hard,60,Most popular alpine lake in Washington - crystal teal water surrounded by jagged peaks,https://www.wta.org/go-hiking/hikes/snow-lake-1,https://www.alltrails.com/trail/us/washington/snow-lake-trail
14,2026-06-20,summer,easy,Naches Peak Loop,Mt Rainier,3.5,600,easy,150,Gentle alpine loop with face-to-face Mt. Rainier views through wildflower meadows,https://www.wta.org/go-hiking/hikes/naches-peak,
14,2026-06-20,summer,moderate,Tolmie Peak,Mt Rainier,5.6,1600,moderate,180,Alpine lakes and historic lookout tower with stunning Mt. Rainier views,,
14,2026-06-20,summer,hard,Skyline Loop,Mt Rainier Paradise,5.5,1600,moderate,150,Peak wildflower meadows and glacier views at Paradise - arrive before 8 AM on weekends,https://www.wta.org/go-hiking/hikes/skyline-trail,
15,2026-06-27,summer,easy,Sourdough Ridge,Mt Rainier,3.0,500,easy,150,Panoramic park views from subalpine meadows - moderate terrain,,
15,2026-06-27,summer,moderate,Spray Park,Mt Rainier,8.0,1700,moderate,180,Alpine meadow waterfalls on quiet side of Rainier - unpaved road to trailhead,https://www.wta.org/go-hiking/hikes/spray-park,
15,2026-06-27,summer,hard,Melakwa Lake,Snoqualmie Pass,8.5,2700,hard,60,Teal alpine lake past Denny Creek waterslide - steepest I-90 hike at 2700 ft gain,https://www.wta.org/go-hiking/hikes/melakwa-lake,
16,2026-07-04,summer,easy,Chain Lakes (short loop),Mt Baker,4.0,700,easy,150,Alpine lakes and sub-alpine meadows with Mt. Baker views - family-friendly option,https://www.wta.org/go-hiking/hikes/chain-lakes-3,
16,2026-07-04,summer,moderate,Chain Lakes Loop,Mt Baker,6.0,1700,moderate,150,Multiple alpine lakes including Mazama and Iceberg with Baker and Shuksan views,https://www.wta.org/go-hiking/hikes/chain-lakes-3,
16,2026-07-04,summer,hard,Sahale Arm,North Cascades,12.0,4150,hard,180,Cascade Pass plus Sahale Glacier views - technical inclines over loose rock and gravel,,
17,2026-07-11,summer,easy,Artist Point,Mt Baker,1.0,200,easy,150,Paved accessible trail to dramatic viewpoint of Mt. Baker and Mt. Shuksan - peak wildflowers,,
17,2026-07-11,summer,moderate,Margaret Lake,Snoqualmie Pass,6.0,1500,moderate,60,Alpine Lakes Wilderness forest walk with switchbacks to quiet mountain lake,,
17,2026-07-11,summer,hard,Colchuck Lake,Leavenworth,8.0,2280,hard,150,Gateway to the Enchantments - turquoise water beneath Dragontail and Colchuck peaks,https://www.wta.org/go-hiking/hikes/colchuck-lake,https://www.alltrails.com/trail/us/washington/colchuck-lake-trail
18,2026-07-18,summer,easy,Plummer Peak,Mt Rainier,2.2,1700,moderate,150,Short but steep with high alpine subalpine flowers - dramatic for minimal distance,,
18,2026-07-18,summer,moderate,Hidden Lake Lookout,North Cascades,9.0,3400,hard,180,Historic 1931 fire tower with high alpine meadows and panoramic peak views,,
18,2026-07-18,summer,hard,Mount Pilchuck,Mountain Loop Hwy,5.4,2200,hard,70,Summit fire lookout with views of all 5 volcanoes - relatively short and close to Seattle,https://www.wta.org/go-hiking/hikes/mount-pilchuck,https://www.alltrails.com/trail/us/washington/mount-pilchuck-trail
19,2026-07-25,summer,easy,Heather-Maple Pass,North Cascades,7.2,2000,moderate,180,Endless mountain peaks and alpine lake views with spectacular vistas,,
19,2026-07-25,summer,moderate,Lake Ann (Baker),Mt Baker,8.7,2047,hard,150,Close-up Mt. Shuksan west face and glacier views - alpine meadows bloom through August,https://www.wta.org/go-hiking/hikes/lake-ann,
19,2026-07-25,summer,hard,Yellow Aster Butte,Mt Baker,7.5,2550,hard,150,Spectacular wildflower display - lupine and paintbrush carpet meadows with 360 views,https://www.wta.org/go-hiking/hikes/yellow-aster-butte,
20,2026-08-01,summer,easy,Blue Lake (short),North Cascades,4.4,1050,moderate,180,Turquoise alpine lake at 6254 feet under Liberty Bell granite spires,https://www.wta.org/go-hiking/hikes/blue-lake,
20,2026-08-01,summer,moderate,Thornton Lakes,North Cascades,10.4,2300,hard,180,Rugged terrain with glacier views - less crowded and dramatic alpine setting,,
20,2026-08-01,summer,hard,Cascade Pass,North Cascades,7.2,2000,moderate,180,Alpine mountain pass with panoramic Cascades views and meadows - classic North Cascades hike,,
21,2026-08-08,summer,easy,Wallace Lake,Gold Bar,9.5,1500,moderate,75,Extends Wallace Falls hike to quiet alpine lake - longer adventure option,,
21,2026-08-08,summer,moderate,West Tiger 3,Issaquah,6.2,2000,moderate,35,Panoramic Seattle and Mt. Rainier views from Tiger Mountain summit,https://www.wta.org/go-hiking/hikes/west-tiger-3,
21,2026-08-08,summer,hard,Hannegan Peak,North Cascades,11.0,3100,hard,180,Very steep final miles to alpine meadows with Baker and Shuksan glacier views,,
22,2026-08-15,summer,easy,Cutthroat Lake,North Cascades,3.8,400,easy,180,Easiest alpine lake in North Cascades - gentle walk to forested lake basin,https://www.wta.org/go-hiking/hikes/cutthroat-lake,
22,2026-08-15,summer,moderate,Glacier Basin,Mt Rainier,7.0,1700,moderate,150,Emmons Glacier viewpoint with marmots and late-season alpine wildflowers,https://www.wta.org/go-hiking/hikes/glacier-basin,
22,2026-08-15,summer,hard,The Enchantments Core,Leavenworth,12.0,4500,hard,150,Glacier-carved terrain with soft tundra meadows and dramatic granite formations - permit required for overnight,,
23,2026-08-22,summer,easy,Snoqualmie Valley Trail,North Bend,9.4,577,easy,40,Packed gravel path with Mt. Si views - excellent for fitness hiking or biking,,
23,2026-08-22,summer,moderate,Mount Pilchuck,Mountain Loop Hwy,5.4,2200,hard,70,Repeat option - fire lookout with five-volcano views and shorter approach,https://www.wta.org/go-hiking/hikes/mount-pilchuck,https://www.alltrails.com/trail/us/washington/mount-pilchuck-trail
23,2026-08-22,summer,hard,Snoqualmie Mountain,North Bend,3.3,3116,hard,45,Steep all the way with rocky and slippery sections - technical summit scramble,,
24,2026-08-29,summer,easy,Lake Twenty-Two,Granite Falls,5.4,1350,moderate,70,Late-season visit to popular alpine lake - fewer crowds than earlier in summer,https://www.wta.org/go-hiking/hikes/lake-twenty-two,https://www.alltrails.com/trail/us/washington/lake-22-trail
24,2026-08-29,summer,moderate,Talapus and Olallie Lakes,Snoqualmie Pass,5.8,1223,moderate,55,Two peaceful subalpine lakes as summer winds down,https://www.wta.org/go-hiking/hikes/talapus-and-olallie-lakes,https://www.alltrails.com/trail/us/washington/talapus-and-olallie-lakes-via-olallie-lake-trail--5
24,2026-08-29,summer,hard,Mount Si,North Bend,8.1,3150,hard,40,Late summer repeat with less crowded trails - classic Seattle challenge,https://www.wta.org/go-hiking/hikes/mount-si,https://www.alltrails.com/trail/us/washington/mount-si-trail
25,2026-09-05,summer,easy,Bench and Snow Lake,Mt Rainier,2.7,750,moderate,150,Labor Day easy option with two subalpine lakes and wildflowers,,
25,2026-09-05,summer,moderate,Naches Peak Loop,Mt Rainier,3.5,600,easy,150,Repeat from July with different late-season wildflowers and fewer crowds,https://www.wta.org/go-hiking/hikes/naches-peak,
25,2026-09-05,summer,hard,Skyline Trail Loop,Mt Rainier,5.5,1600,moderate,150,Labor Day at Paradise with late-summer alpine conditions,https://www.wta.org/go-hiking/hikes/skyline-trail,
26,2026-09-12,summer,easy,Mirror Lake,Snoqualmie Pass,3.0,700,moderate,55,Quiet end-of-summer visit with peaceful reflection views,https://www.wta.org/go-hiking/hikes/mirror-lake-and-cottonwood-lakes,
26,2026-09-12,summer,moderate,Annette Lake,Snoqualmie Pass,7.5,1800,moderate,60,Late-season alpine lake with changing colors beginning,https://www.wta.org/go-hiking/hikes/annette-lake,
26,2026-09-12,summer,hard,Snow Lake,Snoqualmie Pass,7.2,1800,hard,60,Pre-larch visit with early fall colors appearing,https://www.wta.org/go-hiking/hikes/snow-lake-1,https://www.alltrails.com/trail/us/washington/snow-lake-trail
27,2026-09-19,summer,easy,Franklin Falls,Snoqualmie Pass,2.0,400,easy,50,End of summer waterfall walk - still flowing well,https://www.wta.org/go-hiking/hikes/franklin-falls,
27,2026-09-19,summer,moderate,Heather Lake,Granite Falls,4.4,1204,moderate,70,Late-season mountain lake with early fall colors,https://www.wta.org/go-hiking/hikes/heather-lake-1,
27,2026-09-19,summer,hard,Bandera Mountain,Snoqualmie Pass,8.0,3400,hard,55,Alpine meadows beginning to turn gold - panoramic Cascade views,,https://www.alltrails.com/trail/us/washington/bandera-mountain
28,2026-09-26,fall,easy,Cutthroat Lake,North Cascades,3.8,400,easy,180,Easiest larch hike - gentle walk to lake ringed by larches just starting to turn,https://www.wta.org/go-hiking/hikes/cutthroat-lake,
28,2026-09-26,fall,moderate,Blue Lake,North Cascades,4.4,1050,moderate,180,Turquoise lake with early larch gold under granite spires,https://www.wta.org/go-hiking/hikes/blue-lake,
28,2026-09-26,fall,hard,Maple Pass Loop,North Cascades,7.2,2000,moderate,180,Alpine larch and subalpine larch beginning to turn with endless peak views,,
29,2026-10-03,fall,easy,Icicle Gorge,Leavenworth,4.0,400,easy,150,Flat riverside walk with larch views and glacial blue water - great family larch option,,
29,2026-10-03,fall,moderate,Colchuck Lake,Leavenworth,8.0,2280,hard,150,Peak larch viewing - Dragontail Peak above turquoise water framed by golden larches,https://www.wta.org/go-hiking/hikes/colchuck-lake,https://www.alltrails.com/trail/us/washington/colchuck-lake-trail
29,2026-10-03,fall,hard,Lake Ingalls,Teanaway,9.0,2500,hard,170,Iconic larch basin - 2500 ft climb to golden larches with Mt. Stuart and goats,https://www.wta.org/go-hiking/hikes/lake-ingalls,https://www.alltrails.com/trail/us/washington/lake-ingalls
30,2026-10-10,fall,easy,Enchantments Viewpoint,Leavenworth,2.0,300,easy,150,Short walk to larch viewing area without the full Colchuck climb - perfect for families,,
30,2026-10-10,fall,moderate,Blue Lake,North Cascades,4.4,1050,moderate,180,Peak larch week - golden forest reflected in crystal blue water,https://www.wta.org/go-hiking/hikes/blue-lake,
30,2026-10-10,fall,hard,Enchantments Thru-hike,Leavenworth,18.0,5000,very hard,150,Full larch march through Enchantments core zone - extremely challenging day hike,,
31,2026-10-17,fall,easy,Maple Pass (short),North Cascades,3.0,800,moderate,180,Partial loop option to see larches without full loop commitment,,
31,2026-10-17,fall,moderate,Heather-Maple Pass Loop,North Cascades,7.2,2000,moderate,180,Full loop with larch displays and alpine lake views - spectacular fall colors,,
31,2026-10-17,fall,hard,Lake Ingalls (repeat),Teanaway,9.0,2500,hard,170,Second larch weekend option for those who missed week 29 or want repeat experience,https://www.wta.org/go-hiking/hikes/lake-ingalls,https://www.alltrails.com/trail/us/washington/lake-ingalls
32,2026-10-24,fall,easy,Rattlesnake Lake Loop,North Bend,1.3,32,easy,40,Flat lakeside walk with fall foliage reflections - end of larch season pivot to lower elevation,,
32,2026-10-24,fall,moderate,Rattlesnake Ledge,North Bend,4.0,1160,moderate,40,Fall foliage over Cedar River Watershed - maples and alders at peak color,https://www.wta.org/go-hiking/hikes/rattlesnake-ledge,https://www.alltrails.com/trail/us/washington/rattlesnake-ledge
32,2026-10-24,fall,hard,Snow Lake,Snoqualmie Pass,7.2,1800,hard,60,Vine maple reds and berry bush colors along alpine lake trail,https://www.wta.org/go-hiking/hikes/snow-lake-1,https://www.alltrails.com/trail/us/washington/snow-lake-trail
33,2026-10-31,fall,easy,Twin Falls,North Bend,2.4,500,easy,35,Halloween hike - trio of cascades through moody autumn forest,https://www.wta.org/go-hiking/hikes/twin-falls-state-park,https://www.alltrails.com/trail/us/washington/twin-falls-trail
33,2026-10-31,fall,moderate,Little Si,North Bend,3.7,1300,moderate,35,Fall colors on the approach with Boulder Garden for scrambling fun,https://www.wta.org/go-hiking/hikes/little-si,https://www.alltrails.com/trail/us/washington/little-si-trail
33,2026-10-31,fall,hard,Mount Si,North Bend,8.1,3150,hard,40,Late fall challenge with dramatic moody lighting and fewer crowds,https://www.wta.org/go-hiking/hikes/mount-si,https://www.alltrails.com/trail/us/washington/mount-si-trail
34,2026-11-07,fall,easy,Wallace Falls Lower,Gold Bar,2.0,500,easy,75,Short walk to Lower Falls with peak fall rain flow - family-friendly,,
34,2026-11-07,fall,moderate,Wallace Falls,Gold Bar,5.6,1300,moderate,75,Nine waterfalls at full power from November rain - spectacular three-tiered cascade,https://www.wta.org/go-hiking/hikes/wallace-falls,
34,2026-11-07,fall,hard,Wallace Lake,Gold Bar,9.5,1500,moderate,75,Extended waterfall hike to quiet alpine lake - full fall flow on cascades,,
35,2026-11-14,fall,easy,Snoqualmie Falls,Snoqualmie,1.4,100,easy,40,Moody November waterfall at thundering peak flow - mist rises hundreds of feet,https://www.wta.org/go-hiking/hikes/snoqualmie-falls,
35,2026-11-14,fall,moderate,Coal Creek Falls,Issaquah,2.2,475,moderate,25,Waterfall flowing again after summer dormancy - mushroom-rich forest floor,https://www.wta.org/go-hiking/hikes/coal-creek-falls,
35,2026-11-14,fall,hard,Teneriffe Falls,North Bend,5.6,1585,moderate,45,Twenty-two switchbacks to cascading waterfall in late fall conditions,https://www.wta.org/go-hiking/hikes/teneriffe-falls,
36,2026-11-21,fall,easy,Discovery Park,Seattle,2.8,140,easy,20,Thanksgiving week urban walk with Puget Sound and Olympic views - accessible for visiting family,,
36,2026-11-21,fall,moderate,Poo Poo Point,Issaquah,3.8,1650,moderate,30,Thanksgiving workout with views - paragliders may still be flying on nice days,https://www.wta.org/go-hiking/hikes/poo-poo-point,https://www.alltrails.com/trail/us/washington/chirico-trail-to-poo-poo-point--2
36,2026-11-21,fall,hard,Bandera Mountain,Snoqualmie Pass,8.0,3400,hard,55,Late-season alpine challenge - check conditions before attempting,,https://www.alltrails.com/trail/us/washington/bandera-mountain
37,2026-11-28,fall,easy,Green Lake Loop,Seattle,2.8,50,easy,15,Post-Thanksgiving urban stroll - waterfowl and fall leaves,,https://www.alltrails.com/trail/us/washington/green-lake-loop-trail
37,2026-11-28,fall,moderate,Tiger Mountain Tradition Lake,Issaquah,1.5,50,easy,30,Quiet forest lake walk - mushroom foraging and late fall colors,,
37,2026-11-28,fall,hard,Dirty Harry's Balcony,Snoqualmie Pass,4.4,1600,moderate,60,Dramatic overlook in late fall conditions - moody lighting and fewer hikers,,
38,2026-12-05,fall,easy,Burke-Gilman Trail,Seattle,5.0,50,easy,15,Winter solstice approach - flat paved trail perfect for dark December days,,
38,2026-12-05,fall,moderate,Heather Lake,Granite Falls,4.4,1204,moderate,70,Late-season mountain lake - check road conditions on Mountain Loop Highway,https://www.wta.org/go-hiking/hikes/heather-lake-1,
38,2026-12-05,fall,hard,Goat Lake,Mountain Loop Hwy,10.4,1400,hard,75,Longest fall hike - dramatic cirque lake with late-season color along Elliot Creek,https://www.wta.org/go-hiking/hikes/goat-lake,https://www.alltrails.com/trail/us/washington/goat-lake-trail
39,2026-12-12,fall,easy,Franklin Falls,Snoqualmie Pass,2.0,400,easy,50,Winter waterfall walk - snow may dust the forest and frame the falls,https://www.wta.org/go-hiking/hikes/franklin-falls,
39,2026-12-12,fall,moderate,Gold Creek Pond,Snoqualmie Pass,1.0,100,easy,55,Winter wonderland flat loop - may have snow for scenic photos,,
39,2026-12-12,fall,hard,Mirror Lake,Snoqualmie Pass,3.0,700,moderate,55,Winter approach to alpine basin - beautiful with early snow,https://www.wta.org/go-hiking/hikes/mirror-lake-and-cottonwood-lakes,
40,2026-12-19,fall,easy,Rattlesnake Lake,North Bend,1.3,32,easy,40,Winter solstice eve - flat lakeside walk to close the season,https://www.wta.org/go-hiking/hikes/rattlesnake-lake,https://www.alltrails.com/trail/us/washington/rattlesnake-lake-trail
40,2026-12-19,fall,moderate,Rattlesnake Ledge,North Bend,4.0,1160,moderate,40,Final climb of the series - winter views over Cedar River Watershed,https://www.wta.org/go-hiking/hikes/rattlesnake-ledge,https://www.alltrails.com/trail/us/washington/rattlesnake-ledge
40,2026-12-19,fall,hard,Little Si,North Bend,3.7,1300,moderate,35,Season-closer summit with winter Snoqualmie Valley views,https://www.wta.org/go-hiking/hikes/little-si,https://www.alltrails.com/trail/us/washington/little-si-trail
